name;url;brand;availability;price
ADM660ANZ, DC-DC конвертер 1.5-7В 100мА, (-40...+85) [DIP-8];/product/adm660an;Analog Devices;no;1080
ADM660ARZ-REEL7, DC-DC конвертер 1.5-7В 100мА (-40...+85) [SOIC-8];/product/adm660arz-reel7;Analog Devices;no;440
ADP1111ARZ, Имп. стабилизатор напряжения Ind [SO-8];/product/adp1111ar;Analog Devices;no;960
ADP1111ARZ-5, Импульсный стабилизатор напряжения Ind [SO-8];/product/adp1111ar-5;Analog Devices;no;1090
ADP2301AUJZ-R7, DC-DC преобразователь понижающий ADJ 1.2А [TSOT-23-6.];/product/adp2301aujz-r7;Analog Devices;no;150
AOZ1073AIL, DC-DC преобразователь Step-Down ADJ 3А [SOIC-8-0.154];/product/aoz1073ai;Alpha & Omega;no;90
AOZ3018PI, DC-DC преобразователь Step-Down ADJ 5А [SOIC-8-EP-0.154];/product/aoz3018pi;Alpha & Omega;no;180
APW7142KI-TRG, DC/DC преобразователь напряжения 0.8-12В/3А, 500 кГц, [SOP-8];/product/apw7142ki-trg;Anpec;3 дня,227 шт.;160
ICL7660CBAZ-T, Инвертирующий преобразователь напряжения [SO-8];/product/icl7660cba;Intersil;3 дня,128 шт.;210
ICL7660CPAZ, Инвертирующий преобразователь напряжения [DIP-8];/product/icl7660cpaz;Intersil;3 дня,48 шт.;440
ICL7660SCBAZ-T, Инвертирующий преобразователь напряжения [SO-8];/product/icl7660scba;Intersil;3 дня,490 шт.;350
ICL7660SCPAZ, Инвертирующий преобразователь напряжения [DIP-8];/product/icl7660scpa;Intersil;3 дня,37 шт.;290
ICL7662CBA+T, КМОП преобразователи напряжения [SOIC-8];/product/icl7662cba;Maxim;no;410
L296, Сильноточный импульсный регулятор напряжения ADJ 4A Step-Down [Multiwatt-15];/product/l296;ST Microelectronics;3 дня,83 шт.;1130
L4970A, Стабилизатор напряжения импульсный 5.1...40В, 2%, 10A, (-40...+120C), [Multiwatt-15V];/product/l4970a;ST Microelectronics;3 дня,16 шт.;2660
L4971, Импульсный понижающий регулятор напряжения, 1.5А, 3.3В…50В, [DIP-8];/product/l4971;ST Microelectronics;3-5 дней,12 шт.;370
L4971D, DC/DC преобразователь, понижающий, Uвых= 3.3...50В, 1.5А, 300кГц [SO-16W];/product/l4971d;ST Microelectronics;3 дня,125 шт.;680
L4973D5.1, Импульсный регулятор напряжения 5.1V 3.5A Step-Down, [SOIC-20W];/product/l4973d5.1;ST Microelectronics;3 дня,32 шт.;570
L4978, DC-DC преобразователь 2А STEP DOWN [DIP-8];/product/l4978;ST Microelectronics;3 дня,132 шт.;620
L5970D013TR, Импульсный понижающий/повышающий регулятор напряжения, 1А, [SO-8];/product/l5970d;ST Microelectronics;3 дня,187 шт.;510
L5972D013TR, Импульсный регулятор напряжения ADJ 2A Step-Down [SOIC-8];/product/l5972d;ST Microelectronics;3 дня,419 шт.;480
L5973ADTR, DC-DC преобразователь 2А STEP DOWN [HSOP-8];/product/l5973ad;ST Microelectronics;3 дня,147 шт.;1260
L5973D013TR, Импульсный понижающий регулятор напряжения [HSOP-8];/product/l5973d013tr;ST Microelectronics;3 дня,2030 шт.;670
L6920DCTR, Преобразователь постоянного тока повышающий синхронный 3.3/5В/подстраиваемый [MSOP-8];/product/l6920dbtr;ST Microelectronics;3 дня,462 шт.;550
LM1501AGR-ADJ, Понижающий DC-DC преобразователь, Uвх=до 40В, Uвых=1.23…37, 5А, 150кГц [TO-263-5L];/product/lm1501agr-adj;HTC Korea;3 дня,416 шт.;270
LM1501BGR-ADJ, Понижающий DC-DC преобразователь, Uвх=до 40В, Uвых=1.23…37, 5А, 300кГц [TO-263-5L];/product/lm1501bgr-adj;HTC Korea;3 дня,201 шт.;310
LM22670MRX-ADJ/NOPB, DC-DC преобразователь понижающий ADJ 3А 500кГц [SO-8 PowerPad.] (=LM22670MR-ADJ/NOPB);/product/lm22670mrx-adj-nopb;Texas Instruments;no;380
LM22675MRX-5.0/NOPB, Преобразователь с фиксированным выходным напряжением 5В [SO PowerPAD-8];/product/lm22675mr-5.0-nopb-2;Texas Instruments;no;1860
LM22675MRX-ADJ/NOPB, DC-DC преобразователь Step-Down 1А , Uвх=4.5-42В, Uвых=1.285-30В [PSOP-8];/product/lm22675mr-adj-nopb;Texas Instruments;no;2630
LM22676MRX-ADJ/NOPB, DC-DC преобразователь понижающий ADJ 3А 500кГц [SO-8 PowerPad.] (=LM22676MRE-ADJ/NOPB);/product/lm22676mrx-adj-nopb;Texas Instruments;no;110
LM25575MHX/NOPB, Понижающий DC-DC конвертер, ADJ, 1.5А, [HTSSOP-16 EP](=LM25575MH/NOPB);/product/lm25575mh-nopb-ti;Texas Instruments;no;830
LM2574N-5.0/NOPB, Импульсный понижающий регулятор напряжения, 5В, 0.5А, [DIP-8];/product/lm2574n-5.0-nopb;Texas Instruments;no;490
LM2575GR-ADJ, Понижающий DC-DC преобразователь, Uвх=до 40В, Uвых=1.23…37, 1А, 52кГц [TO-263-5L](=LM2575S-ADJ);/product/lm2575gr-adj;HTC Korea;3 дня,445 шт.;110
LM2575GT-ADJ, Понижающий DC-DC преобразователь, Uвх=до 40В, Uвых=1.23…37, 1А, 52кГц [TO-220-5L] (=LM2575T-ADJ);/product/lm2575gt-adj;HTC Korea;3 дня,1277 шт.;110
LM2575HVR-12, Понижающий DC-DC преобразователь, Uвх=до 60В, Uвых=+12В, 1А, 52кГц [TO-263-5L] (=LM2575HVS-12);/product/lm2575hvr-12;HTC Korea;3 дня,595 шт.;150
LM2575HVR-5.0, Понижающий DC-DC преобразователь, Uвх=до 60В, Uвых=+5В, 1А, 52кГц [TO-263-5L] (=LM2575HVS-5.0);/product/lm2575hvr-5.0;HTC Korea;3 дня,260 шт.;150
LM2575HVR-ADJ, Понижающий DC-DC преобразователь, Uвх=до 60В, Uвых=1.23…52, 1А, 52кГц [TO-263-5L] (=LM2575HVS-ADJ);/product/lm2575hvr-adj;HTC Korea;3 дня,508 шт.;150
LM2575HVS-12, Понижающий DC-DC преобразователь, Uвх=до 60В, Uвых=12В, 1А, 52кГц [TO-263-5L];/product/lm2575hvs-12;UMW;3 дня,414 шт.;130
LM2575HVS-3.3, Понижающий DC-DC преобразователь, Uвх=до 60В, Uвых=3.3В, 1А, 52кГц [TO-263-5L];/product/lm2575hvs-3.3;UMW;3 дня,440 шт.;130
LM2575HVS-5.0, Понижающий DC-DC преобразователь, Uвх=до 60В, Uвых=5В, 1А, 52кГц [TO-263-5L];/product/lm2575hvs-5.0;UMW;3 дня,627 шт.;130
LM2575HVS-ADJ, Понижающий DC-DC преобразователь, Uвх=до 60В, Uвых=1.23…57В, 1А, 52кГц [TO-263-5L];/product/lm2575hvs-adj;UMW;3 дня,142 шт.;140
LM2575HVT-5.0, Понижающий DC-DC преобразователь, Uвх=до 60В, Uвых=+5В, 1А, 52кГц [TO-220-5L] (=LM2575T-5.0);/product/lm2575hvt-5.0;HTC Korea;3 дня,461 шт.;150
LM2575HVT-ADJ, Понижающий DC-DC преобразователь, Uвх=до 60В, Uвых=1.23…52, 1А, 52кГц [TO-220-5L] (=LM2575T-ADJ);/product/lm2575hvt-adj;HTC Korea;3 дня,704 шт.;150
LM2575S-12, Понижающий DC-DC преобразователь, Uвх=до 40В, Uвых=12В, 1А, 52кГц [TO-263-5];/product/lm2575s-12-umw;UMW;3 дня,407 шт.;78
LM2575S-3.3, Понижающий DC-DC преобразователь, Uвх=до 40В, Uвых=3.3В, 1А, 52кГц [TO-263-5];/product/lm2575s-3.3-umw;UMW;3 дня,371 шт.;60
LM2575S-5.0, Понижающий DC-DC преобразователь, Uвх=до 40В, Uвых=5В, 1А, 52кГц [TO-263-5];/product/lm2575s-5.0;UMW;3 дня,267 шт.;88
LM2575S-ADJ, Понижающий DC-DC преобразователь, Uвх=до 40В, Uвых=1.23…37, 1А, 52кГц [TO-263-5];/product/lm2575s-adj;UMW;3 дня,447 шт.;60
LM2576HVR-3.3, Понижающий DC-DC преобразователь, Uвх=до 60В, Uвых=+3.3В, 3А, 52кГц [TO-263-5L] (=LM2576HVS-ADJ);/product/lm2576hvr-3.3;HTC Korea;3 дня,359 шт.;180
LM2576HVR-ADJ, Понижающий DC-DC преобразователь, Uвх=до 60В, Uвых=1.23…37, 3А, 52кГц [TO-263-5L] (=LM2576HVS-ADJ);/product/lm2576hvr-adj;HTC Korea;3 дня,538 шт.;180
LM2576HVS-12, Понижающий DC-DC преобразователь, Uвх=до 60В, Uвых=12В, 3А, 52кГц [TO-263-5L];/product/lm2576hvs-12;UMW;3 дня,878 шт.;140
LM2576HVS-3.3, Понижающий DC-DC преобразователь, Uвх=до 60В, Uвых=3.3В, 3А, 52кГц [TO-263-5L];/product/lm2576hvs-3.3;UMW;3 дня,455 шт.;57
LM2576HVS-5.0, Понижающий DC-DC преобразователь, Uвх=до 60В, Uвых=5В, 3А, 52кГц [TO-263-5L];/product/lm2576hvs-5.0;UMW;3 дня,331 шт.;120
LM2576HVS-ADJ, Понижающий DC-DC преобразователь, Uвх=до 60В, Uвых=1.23…57В, 3А, 52кГц [TO-263-5L];/product/lm2576hvs-adj-umw;UMW;3 дня,371 шт.;140
LM2576HVT-ADJ, Понижающий DC-DC преобразователь, Uвх=до 60В, Uвых=1.23…37, 3А, 52кГц [TO-220-5L] (=LM2576HVT-ADJ);/product/lm2576hvt-adj;HTC Korea;3 дня,909 шт.;310
LM2576R-ADJ, Понижающий DC-DC преобразователь, Uвх=до 40В, Uвых=1.23…37, 3А, 52кГц [TO-263-5L] (=LM2576S-ADJ);/product/lm2576r-adj;HTC Korea;3 дня,489 шт.;150
LM2576S-12, Понижающий DC-DC преобразователь, Uвх=до 40В, Uвых=12В , 3А, 52кГц [TO-263-5];/product/lm2576s-12;UMW;3 дня,676 шт.;83
LM2576S-3.3, Понижающий DC-DC преобразователь, Uвх=до 40В, Uвых=3.3В , 3А, 52кГц [TO-263-5];/product/lm2576s-3.3-umw;UMW;3 дня,1568 шт.;71
LM2576S-5.0, Понижающий DC-DC преобразователь, Uвх=до 40В, Uвых=5В , 3А, 52кГц [TO-263-5];/product/lm2576s-5.0-umw;UMW;3 дня,640 шт.;84
LM2576S-ADJ, Понижающий DC-DC преобразователь, Uвх=до 40В, Uвых=1.23…37В, 3А, 52кГц [TO-263-5];/product/lm2576s-adj-umw;UMW;3 дня,599 шт.;73
LM2576T-12/NOPB, Импульсный понижающий регулятор напряжения, 12В, 3А, [TO-220-5];/product/lm2576t-12-nopb;Texas Instruments;no;410
LM2576T-5.0/NOPB, Импульсный понижающий регулятор напряжения, 5В, 3А, [TO-220-5-T];/product/lm2576t-5.0-nopb;Texas Instruments;no;480
LM2576T-ADJ, Понижающий DC-DC преобразователь, Uвх=до 40В, Uвых=1.23…37, 3А, 52кГц [TO-220-5L] (=LM2576T-ADJ);/product/lm2576t-adj;HTC Korea;3 дня,441 шт.;150
LM2576T-ADJG, Импульсный понижающий регулятор напряжения с регулировкой выхода 1.23В…37В, 3А, [TO-220-5];/product/lm2576t-adjg;ON Semiconductor;no;370
LM2577SX-ADJ/NOPB, DC-DC преобразователь ADJ 3А [TO-263-5];/product/lm2577s-adj-nopb;Texas Instruments;no;470
LM2577T-ADJ/NOPB, Импульсный повышающий регулятор напряжения, 3А, диапазон входа 3.5В…40В, [TO-220-5];/product/lm2577t-adj-nopb;Texas Instruments;no;790
LM2585S-ADJ/NOPB, DC-DC преобразователь, Uвх=4…40В, Uвых=1.23...60В, 3А [TO-263-5];/product/lm2585s-adj;Texas Instruments;no;1870
LM2594HVM-12, DC-DC преобразователь, Step-Down, Uвх.=4.5…60В, Uвых=12В, Iвых= 1.5А, 150кГц [SOIC-8];/product/lm2594hvm-12;UMW;3 дня,1557 шт.;170
LM2594HVM-3.3, DC-DC преобразователь, Step-Down, Uвх.=4.5…60В, Uвых=3.3В, Iвых= 1.5А, 150кГц [SOIC-8];/product/lm2594hvm-3.3-umw;UMW;3 дня,2332 шт.;130
LM2594HVM-5.0, DC-DC преобразователь, Step-Down, Uвх.=4.5…60В, Uвых=5В, Iвых= 1.5А, 150кГц [SOIC-8];/product/lm2594hvm-5.0;UMW;3 дня,1393 шт.;130
LM2594HVM-ADJ, DC-DC преобразователь, Step-Down, Uвх.=4.5…60В, Uвых=1.2.…37В, Iвых= 1.5А, 150кГц [SOIC-8];/product/lm2594hvm-adj-umw;UMW;3 дня,1455 шт.;180
LM2594M-3.3, DC-DC преобразователь, Step-Down, Uвх.=4.5…45В, Uвых=3.3В, Iвых= 1.5А, 150кГц [SOIC-8];/product/lm2594m-3.3;UMW;3 дня,2039 шт.;56
LM2596DSADJR4G, Понижающий регулятор 3A BUCK SWCH 150KHZ, [D2-PAK-5];/product/lm2596dsadjr4g;ON Semiconductor;no;410
LM2596HVGR-12, Понижающий DC-DC преобразователь, Uвх=до 60В, Uвых=+12В, 3А, 150кГц [TO-263-5L];/product/lm2596hvgr-12;HTC Korea;3 дня,374 шт.;240
LM2596HVGR-3.3, Понижающий DC-DC преобразователь, Uвх=до 60В, Uвых=+3.3В, 3А, 150кГц [TO-263-5L];/product/lm2596hvgr-3.3;HTC Korea;3 дня,818 шт.;240
LM2596HVGR-5.0, Понижающий DC-DC преобразователь, Uвх=до 60В, Uвых=+5В, 3А, 150кГц [TO-263-5L];/product/lm2596hvgr-5.0;HTC Korea;3 дня,794 шт.;260
LM2596HVGR-ADJ, Понижающий DC-DC преобразователь, Uвх=до 60В, Uвых=1.23…37, 3А, 150кГц [TO-263-5L];/product/lm2596hvgr-adj;HTC Korea;3 дня,791 шт.;240
LM2596HVGT-ADJ, Понижающий DC-DC преобразователь, Uвх=до 60В, Uвых=1.23…37, 3А, 150кГц [TO-220-5L];/product/lm2596hvgt-adj;HTC Korea;3 дня,615 шт.;240
LM2596HVS-12, Понижающий DC-DC преобразователь, Uвх=до 60В, Uвых=12В, 3А, 150кГц [TO-263-5L];/product/lm2596hvs-12;UMW;3 дня,302 шт.;130
LM2596HVS-3.3, Понижающий DC-DC преобразователь, Uвх=до 60В, Uвых=3.3В, 3А, 150кГц [TO-263-5L];/product/lm2596hvs-3.3;UMW;3 дня,465 шт.;120
LM2596HVS-5.0, Понижающий DC-DC преобразователь, Uвх=до 60В, Uвых=5В, 3А, 150кГц [TO-263-5L];/product/lm2596hvs-5.0;UMW;3 дня,248 шт.;130
LM2596HVS-ADJ, Понижающий DC-DC преобразователь, Uвх=до 60В, Uвых=1.23…57В, 3А, 150кГц [TO-263-5L];/product/lm2596hvs-adj;UMW;3 дня,428 шт.;140
LM2596R-ADJ, Понижающий DC-DC преобразователь, Uвх=до 40В, Uвых=1.23…37, 3А, 150кГц [TO-263-5L] (=LM2596S-ADJ);/product/lm2596r-adj;HTC Korea;3 дня,564 шт.;180
LM2596S-12, Импульсный понижающий регулятор напряжения с регулировкой выхода, 3А, 150кГц, 12В [TO-263-5];/product/lm2596s-12;UMW;3 дня,1194 шт.;89
LM2596S-3.3, Импульсный понижающий регулятор напряжения с регулировкой выхода, 3А, 150кГц, 3.3В [TO-263-5];/product/lm2596s-3.3;UMW;3 дня,1332 шт.;82
LM2596S-5.0, Импульсный понижающий регулятор напряжения с регулировкой выхода, 3А, 150кГц, 5В [TO-263-5];/product/lm2596s-5.0;UMW;3 дня,1005 шт.;87
LM2596S-ADJ, Импульсный понижающий регулятор напряжения с регулировкой выхода, 3А, 150кГц, 1.2В…37В [TO-263-5];/product/lm2596s-adj;UMW;3 дня,2573 шт.;87
LM2596T-ADJ, Понижающий DC-DC преобразователь, Uвх=до 40В, Uвых=1.23…37, 3А, 150кГц [TO-220-5L] (=LM2596T-ADJ);/product/lm2596t-adj;HTC Korea;3 дня,1446 шт.;180
LM2621MM/NOPB, Повышающий преобразователь напряжения с низковольтным входом 1.2В, [VSSOP-8];/product/lm2621mm;Texas Instruments;no;180
LM2623AMMX/NOPB, DC/DC преобразовватель напряжения, повышающий [VSSOP-8];/product/lm2623amm-nopb;Texas Instruments;no;250
LM2660MX/NOPB, Инвертор напряжения с подкачкой заряда, INV, 100мА [SOIC -8.] (=LM2660M/NOPB);/product/lm2660mx-nopb-ti;Texas Instruments;no;120
LM2662MX/NOPB, DC/DC преобразователь, Charge pump, инвертирующий [SOIC-8];/product/lm2662m-nopb-ti;Texas Instruments;no;290
LM2664M6X/NOPB, DC-DC преобразователь, SWITCH CAP [SOT-23-6];/product/lm2664m6-nopb-3;Texas Instruments;no;280
LM2673S-ADJ/NOPB, DC-DC преобразователь Step-Down, 3А, с регулируемым пределом тока, SIMPLE SWITCHER [TO-263-7];/product/lm2673s-adj;Texas Instruments;no;1560
