Ноутбук HP Pavilion Gaming 15, WIN11 Игровой;43500 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-hp-pavilion-gaming-15-win11-ighrovoi-6741aba4dce9de08e80cc7d4?source_view=search
Ноутбук thunderobot;68999 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-thunderobot-6740405b95d670ed8907703c?source_view=search
Ноутбук acer;16000 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-acer-671164ee7b5c2424000c3c7e?source_view=search
Ноутбук Mechrevo Jialong 16s rtx 4060;99500 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-mechrevo-jialong-16s-rtx-4060-6740f33eeac084d0aa051a24?source_view=search
Ноутбук Acer для работы;17990 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-acer-dlia-raboty-673b02dcfc02a142a50a11b9?source_view=search
"Lenovo 8гб ОЗУ экран 15.6"" SSD+HDD Быстрый ноутбук";13500 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/lenovo-8ghb-ozu-ekran-156-ssd+hdd-bystryi-noutbuk-673df0c343e8848f92054994?source_view=search
Ноутбук Lenovo;9799 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-lenovo-6741d6df4adc795f26054214?source_view=search
"4ядра 128/4 IPS FHD экран 15.6"" Pentium ноутбук";9000 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/4iadra-1284-ips-fhd-ekran-156-pentium-noutbuk-6732036faa159c805d05cf74?source_view=search
Ноутбук С двумя экранами;27000 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-s-dvumia-ekranami-673f89019fb2d1c6b9079944?source_view=search
Ноутбук infinx y2 plus;37999 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-infinx-y2-plus-67248445b79d65013702067e?source_view=search
Ноутбук huawei Ryzen 3 5300U/8GB/SSD256/ips;28990 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-huawei-ryzen-3-5300u8gbssd256ips-6720f6f219cea0206f0d89e4?source_view=search
Ноутбук Acer aspire 3690 в идеале.;1800 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-acer-aspire-3690-v-idiealie-67403fc22fd7faecb80ec164?source_view=search
Ноутбук H-BOOK 2024;30000 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-hbook-2024-67402551347bcec02b081982?source_view=search
HP ноутбук.;15000 ₽;https://youla.ru/kolpino/kompyutery/noutbuki/hp-noutbuk-673fb3b0ece1f9216c0b3ff4?source_view=search
Игровой ноутбук Asus / GeForce RTX / SSD;40990 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/ighrovoi-noutbuk-asus-geforce-rtx-ssd-673aff78e276fc74e402c744?source_view=search
Ноутбук asus X54H;6000 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-asus-x54h-673f56447891fec7620ce07a?source_view=search
Ноутбук dell;12510 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-dell-6719814f0166ec53590e8d64?source_view=search
Ноутбук Acer Aspire V;8000 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-acer-aspire-v-65cb526e315e565b970aaaf0?source_view=search
Ноутбук 💻hp;4500 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-hp-672f322c35ce848ac40b56d1?source_view=search
"Ноутбук HP 15.6""";29900 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-hp-156-6038c3393b3b5410d95e90a3?source_view=search
Ноутбук Macbook Pro 13 mid 2012;50000 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-macbook-pro-13-mid-2012-672dfaebd0b986ea9609ec74?source_view=search
Ноутбук Dell 500 рабочий;2500 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/dell-inspiron-1525-rabochii-61a666fcc9d52155c8580523?source_view=search
Ноутбук Dell с GeForce GT525m/i3-2350M;7390 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-dell-s-geforce-gt525mi32350m-6730b71d23866c1dea0db94e?source_view=search
Ноутбук DELL;1800 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-dell-6730e47af1f03d19e3051eda?source_view=search
Ноутбук офисный HP 240 Gb SSD / Radeon;13990 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-ofisnyi-hp-240-gb-ssd-radeon-673b036e6e40b3a10b084420?source_view=search
Ноутбук Lenovo ideapad 3;15000 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-lenovo-ideapad-3-6727dbb4c867069ea5067954?source_view=search
Ноутбук;1955 ₽;https://youla.ru/pushkin/kompyutery/noutbuki/noutbuk-673db67ebf8daea9a80dcfe5?source_view=search
Ноутбук dell рабочий;9000 ₽;https://youla.ru/kronstadt/kompyutery/noutbuki/noutbuk-dell-rabochii-671ccd815d5b053f370fe85c?source_view=search
ноутбук sony vaio pcg -8n2l;1000 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-sony-vaio-pcg-8n2l-67213af14e099d7d130c92e4?source_view=search
Ноутбук Huawei Matebook 16d,i512450h 16гб 512гб;60000 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-huawei-matebook-16di512450h-16ghb-512ghb-673edd3710d8ed5eec039e90?source_view=search
"SSD 256 озу8гб 14""ips fhd Быстрый ноутбук dexp c14";12900 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/ssd-256-ozu8ghb-14ips-fhd-bystryi-noutbuk-dexp-c14-673df726308bc1fbd40fc694?source_view=search
Ноутбук Asus pro58v;3000 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-asus-pro58v-673031717f7f7384120649c4?source_view=search
Игровой Ноутбук HP;35000 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/ighrovoi-noutbuk-hp-671ab4d466ec325c4a000fd4?source_view=search
"Ноутбук HP 17.3""";15990 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-hp-173-673b0419ce23f72c6c016fb7?source_view=search
Продаю ноутбук;45000 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/prodaiu-srochno-noutbuk-672bddc82b915d68600e1cd4?source_view=search
Ноутбук Acer Extensa 2519;7500 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-acer-extensa-2519-60a2a188fb346b701a1f1e43?source_view=search
Игровой ноутбук Dell G7 i5 + Nvidia RTX 2060 6GB;39990 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/ighrovoi-noutbuk-dell-g7-i5-+-nvidia-rtx-2060-6gb-673afed1382c10485800f074?source_view=search
Ноутбук Lenovo IdeaPad L3;30900 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-lenovo-ideapad-l3-671c27ce721d80b473056cb3?source_view=search
Ноутбук hp 15-ba507ur;9500 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-hp-15ba507ur-6720e16a519e95f77b09e7a4?source_view=search
Ноутбук asus vivobook X512D;16990 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-asus-vivobook-x512d-672106a34c6ae35f3c08574d?source_view=search
Игровой ноутбук msi katana gf76 11uc 3050 ti i7;50000 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/ighrovoi-noutbuk-msi-katana-gf76-11uc-3050-ti-i7-66fd05e12a1f4bdc4f047731?source_view=search
Продам ноутбук;17000 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/prodam-noutbuk-6708538e7943e3b152079a44?source_view=search
Ноутбук HP 650;10000 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-hp-650-6728b87ac26c0ede5a0a9214?source_view=search
Игровой ноутбук asus TuF Ryzen 5 / GTX 1650;30990 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/ighrovoi-noutbuk-asus-tuf-ryzen-5-gtx-1650-673afd70a622a275a30dd6da?source_view=search
Ноутбук Asus X550CL;7500 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-asus-x550cl-6724b03675848c8482028194?source_view=search
Игровой ноутбук Thunderobot 911 Plus G3 Pro;95000 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/ighrovoi-noutbuk-thunderobot-911-plus-g3-pro-6638b262839a860d110a034e?source_view=search
Ноутбук Acer Aspire 5 A515-51G-57TV;15000 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-acer-aspire-5-a51551g57tv-6709bbd546ac2a6bd0075bf4?source_view=search
Ноутбук Samsung / для удалённой работы / учёбы;14990 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-samsung-dlia-udalionnoi-raboty-uchioby-673b0710df3b58b76d0f9404?source_view=search
Ноутбук samsung np x11b;1500 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-samsung-r-20-plus-671f58dcb42b8615910d8d54?source_view=search
Ноутбук для World Of Tanks и других;8890 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/ighrovaia-zvieriugha-asus-na-i52450mgt630m500gb-67295a25e31fa12c640a8d04?source_view=search
"17.3"" Ноутбук MSI GF75 Thin";40000 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/173-noutbuk-msi-gf75-thin-67335635719dbcb95909023e?source_view=search
Ноутбук lenovo flex2 14;10800 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-lenovo-flex2-14-6723e4f406fcb48f230d41a4?source_view=search
Ноутбук MSI GE62 2QC i7-5700HQ/GeForce GTX960M;21990 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-msi-ge62-2qc-i75700hqgeforce-gtx960m-67287b3bace4f58af60abfa6?source_view=search
Продам ноутбук НР 15 bw (15-rb061ur);11000 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/prodam-noutbuk-nr-15-bw-15rb061ur-673af121ad56ca3ecf0c678f?source_view=search
Ноутбук HP Compaq Presario CQ56;6900 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-hp-compaq-presario-cq56-5e2ef78adf5340369d317ed5?source_view=search
Ноутбук ASUS TUF Gaming б/у;67000 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-asus-tuf-gaming-bu-673a1808839756e6d30b5384?source_view=search
Ноутбук Thunderobot 911 Air D;49900 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-thunderobot-911-air-d-673e3ba6ac4ce3323b00ced4?source_view=search
Ноутбук HP / Intel Core / SSD;15990 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-hp-intel-core-ssd-673b025d08a661a7c101fccb?source_view=search
Игровой ноутбук Thunderobot 911 Plus G3 X/17.3;70000 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/ighrovoi-noutbuk-thunderobot-911-plus-g3-x173-673986429bc052f36a0f012b?source_view=search
ноутбук Aser nitro 5;75000 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-aser-nitro-5-670436be82df0f9181096b14?source_view=search
Ноутбук Asus rog zephyrus g14 GA401QM-K2166T;85000 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-asus-rog-zephyrus-g14-ga401qmk2166t-653222b70ea89edf8d04cc84?source_view=search
Ноутбук packard bell p5ws0;6600 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-packard-bell-p5ws0-6728b085a8c535f6e40cfe81?source_view=search
Acer/ i7-6500U/16GB/SSD120/750GB/GTX950;26990 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/acer-i76500u16gbssd120750gbgtx950-6720f1f616d852c3350ed20e?source_view=search
