TITLE;Computer Science
Reconstructing Subject-Specific Effect Maps;1
Rotation Invariance Neural Network;1
Spherical polyharmonics and Poisson kernels for polyharmonic functions;0
A finite element approximation for the stochastic Maxwell--Landau--Lifshitz--Gilbert system;0
Comparative study of Discrete Wavelet Transforms and Wavelet Tensor Train decomposition to feature extraction of FTIR data of medicinal plants;0
On maximizing the fundamental frequency of the complement of an obstacle;0
On the rotation period and shape of the hyperbolic asteroid 1I/`Oumuamua (2017) U1 from its lightcurve;0
Adverse effects of polymer coating on heat transport at solid-liquid interface;0
SPH calculations of Mars-scale collisions: the role of the Equation of State, material rheologies, and numerical effects;0
$\mathcal{R}_{0}$ fails to predict the outbreak potential in the presence of natural-boosting immunity;0
A global sensitivity analysis and reduced order models for hydraulically-fractured horizontal wells;0
Dynamics of exciton magnetic polarons in CdMnSe/CdMgSe quantum wells: the effect of self-localization;0
On Varieties of Ordered Automata;1
Direct Evidence of Spontaneous Abrikosov Vortex State in Ferromagnetic Superconductor EuFe$_2$(As$_{1-x}$P$_x$)$_2$ with $x=0.21$;0
A rank 18 Waring decomposition of $sM_{\langle 3\rangle}$ with 432 symmetries;0
The PdBI Arcsecond Whirlpool Survey (PAWS). The Role of Spiral Arms in Cloud and Star Formation;0
Higher structure in the unstable Adams spectral sequence;0
Comparing Covariate Prioritization via Matching to Machine Learning Methods for Causal Inference using Five Empirical Applications;1
Acoustic Impedance Calculation via Numerical Solution of the Inverse Helmholtz Problem;0
Deciphering noise amplification and reduction in open chemical reaction networks;0
Many-Body Localization: Stability and Instability;0
Fault Detection and Isolation Tools (FDITOOLS) User's Guide;1
Complexity of Deciding Detectability in Discrete Event Systems;1
The Knaster-Tarski theorem versus monotone nonexpansive mappings;0
Efficient methods for computing integrals in electronic structure calculations;0
Diffraction-Aware Sound Localization for a Non-Line-of-Sight Source;0
Jacob's ladders, crossbreeding in the set of $ζ$-factorization formulas and selection of families of $ζ$-kindred real continuous functions;0
Minimax Estimation of the $L_1$ Distance;0
Density large deviations for multidimensional stochastic hyperbolic conservation laws;0
mixup: Beyond Empirical Risk Minimization;0
Equality of the usual definitions of Brakke flow;0
Dynamic Base Station Repositioning to Improve Spectral Efficiency of Drone Small Cells;1
An Unsupervised Homogenization Pipeline for Clustering Similar Patients using Electronic Health Record Data;0
Deep Neural Network Optimized to Resistive Memory with Nonlinear Current-Voltage Characteristics;1
Rate-Distortion Region of a Gray-Wyner Model with Side Information;1
Fourier-based numerical approximation of the Weertman equation for moving dislocations;0
Design Decisions for Weave: A Real-Time Web-based Collaborative Visualization Framework;1
Suzaku Analysis of the Supernova Remnant G306.3-0.9 and the Gamma-ray View of Its Neighborhood;0
Japanese Sentiment Classification using a Tree-Structured Long Short-Term Memory with Attention;1
Covariances, Robustness, and Variational Bayes;0
Probing valley filtering effect by Andreev reflection in zigzag graphene nanoribbon;0
Generalized Approximate Message-Passing Decoder for Universal Sparse Superposition Codes;1
LAAIR: A Layered Architecture for Autonomous Interactive Robots;1
3D Human Pose Estimation in RGBD Images for Robotic Task Learning;1
Simultaneous non-vanishing for Dirichlet L-functions;0
Wehrl Entropy Based Quantification of Nonclassicality for Single Mode Quantum Optical States;0
Attention-based Natural Language Person Retrieval;1
Large Scale Automated Forecasting for Monitoring Network Safety and Security;1
Contextual Regression: An Accurate and Conveniently Interpretable Nonlinear Model for Mining Discovery from Scientific Data;1
Multi-time correlators in continuous measurement of qubit observables;1
Parallelism, Concurrency and Distribution in Constraint Handling Rules: A Survey;1
Robustness against the channel effect in pathological voice detection;1
An Effective Framework for Constructing Exponent Lattice Basis of Nonzero Algebraic Numbers;1
Competing evolutionary paths in growing populations with applications to multidrug resistance;0
Transient flows in active porous media;0
An information model for modular robots: the Hardware Robot Information Model (HRIM);1
Detecting Adversarial Samples Using Density Ratio Estimates;1
The Query Complexity of Cake Cutting;1
Stacked Convolutional and Recurrent Neural Networks for Music Emotion Recognition;1
Timed Automata with Polynomial Delay and their Expressiveness;1
Superconducting properties of Cu intercalated Bi$_2$Se$_3$ studied by Muon Spin Spectroscopy;0
Time-domain THz spectroscopy reveals coupled protein-hydration dielectric response in solutions of native and fibrils of human lyso-zyme;0
